Benchmark,Sub-blocking,Compression,Stage,Ideal
502.gcc_r,"0.55 ","0.35 ","0.11 ","0.16 "
503.bwaves_r,"0.35 ","0.40 ","0.25 ","0.70 "
505.mcf_r,"0.15 ","0.46 ","0.39 ","0.81 "
507.cactuBSSN_r,"0.43 ","0.14 ","0.43 ","0.55 "
519.lbm_r,"0.70 ","0.01 ","0.29 ","0.83 "
520.omnetpp_r,"0.78 ","0.21 ","0.01 ","0.76 "
527.cam4_r,"0.67 ","0.05 ","0.28 ","0.53 "
549.fotonik3d_r,"0.11 ","0.67 ","0.23 ","0.66 "
554.roms_r,"0.50 ","0.36 ","0.14 ","0.53 "
557.xz_r,"0.85 ","0.15 ","0.00 ","0.49 "
cc.twi,"0.47 ","0.25 ","0.28 ","0.75 "
pr.twi,"0.31 ","0.28 ","0.41 ","0.92 "
cc.web,"0.78 ","0.10 ","0.12 ","0.96 "
pr.web,"0.79 ","0.04 ","0.18 ","0.93 "
resnet50,"0.61 ","0.30 ","0.09 ","0.11 "
resnext50,"0.60 ","0.30 ","0.10 ","0.11 "
YCSB-A,"0.51 ","0.10 ","0.39 ","0.71 "
YCSB-B,"0.70 ","0.19 ","0.10 ","0.23 "
Geomean,"0.58 ","0.25 ","0.17 ","0.82 "
