Benchmark,Hybrid2,Baryon-High,Hitrate,hitrate1
602.gcc_s,"1.0000 ","1.3851 ",0.99,1
603.bwaves_s,"1.0000 ","1.1036 ",0.8172,0.8714
605.mcf_s,"1.0000 ","1.2089 ",0.792,0.7872
607.cactuBSSN_s,"1.0000 ","1.0254 ",0.7426,0.7438
619.lbm_s,"1.0000 ","0.9751 ",0.8908,0.8912
620.omnetpp_s,"1.0000 ","1.5007 ",0.5751,0.6091
627.cam4_s,"1.0000 ","1.0101 ",0.9153,0.9196
649.fotonik3d_s,"1.0000 ","1.3921 ",0.7126,0.8467
654.roms_s,"1.0000 ","1.3228 ",0.8726,0.8762
657.xz_s,"1.0000 ","0.9747 ",0.9449,0.9417
cc.twitter,"1.0000 ","1.0412 ",0.673,0.6927
pr.twitter,"1.0000 ","1.2149 ",0.5872,0.52882
cc.web,"1.0000 ","1.1397 ",0.8827,0.9489
pr.web,"1.0000 ","1.0261 ",0.7892,0.7971
resnet50,"1.0000 ","1.4977 ",0.796,0.835
resnext50,"1.0000 ","1.1928 ",0.8643,0.9279
YCSB-A,"1.0000 ","1.1326 ","0.8700 ","0.9700 "
YCSB-B,"1.0000 ","1.0584 ","0.9900 ","0.9900 "
Geomean,"1.0000 ","1.1662 ","0.8077 ","0.8322 "
