Benchmark,Basic,UnisonCache,DICE,Baryon-64B,Baryon
502.gcc_r,"0.981 ","0.929 ","0.948 ","0.870 ","0.981 "
503.bwaves_r,"0.877 ","0.519 ","0.419 ","0.861 ","0.960 "
505.mcf_r,"0.943 ","0.818 ","0.869 ","0.912 ","0.968 "
507.cactuBSSN_r,"0.916 ","0.707 ","0.784 ","0.747 ","0.915 "
519.lbm_r,"0.936 ","0.744 ","0.801 ","0.607 ","0.932 "
520.omnetpp_r,"0.958 ","0.530 ","0.928 ","0.973 ","0.973 "
527.cam4_r,"0.992 ","0.948 ","0.943 ","0.976 ","0.989 "
549.fotonik3d_r,"0.881 ","0.530 ","0.776 ","0.873 ","0.968 "
554.roms_r,"0.961 ","0.855 ","0.905 ","0.932 ","0.970 "
557.xz_r,"0.996 ","0.937 ","0.994 ","0.977 ","0.982 "
cc.twitter,"0.827 ","0.482 ","0.560 ","0.665 ","0.869 "
pr.twitter,"0.730 ","0.367 ","0.440 ","0.566 ","0.772 "
cc.web,"0.946 ","0.776 ","0.811 ","0.870 ","0.970 "
pr.web,"0.848 ","0.353 ","0.475 ","0.562 ","0.890 "
resnet50,0.9597,0.8419,0.8758,0.9594,0.9891
resnext50,,,,,
ycsb.a,0.9060,0.6231,0.8988,0.9274,0.9818
ycsb.b,0.9051,0.6260,0.9032,0.9269,0.9817
