Benchmark,Basic,Unison Cache,DICE,Baryon-64B,Baryon
502.gcc_r,1,"3.3863 ","3.7562 ","4.2570 ","3.8869 "
503.bwaves_r,1,"3.1111 ","3.5098 ","3.6236 ","4.4633 "
505.mcf_r,1,"2.4659 ","3.2452 ","3.5832 ","3.8010 "
507.cactuBSSN_r,1,"3.7767 ","4.2486 ","4.4334 ","3.9220 "
519.lbm_r,1,"1.2692 ","1.0154 ","1.1379 ","1.2222 "
520.omnetpp_r,1,"1.5361 ","2.2922 ","3.4650 ","3.4383 "
527.cam4_r,1,"3.6874 ","2.9999 ","4.2479 ","3.8199 "
549.fotonik3d_r,1,"3.6214 ","3.9799 ","5.2203 ","6.9300 "
554.roms_r,1,"4.0294 ","4.3374 ","6.2473 ","6.8096 "
557.xz_r,1,"2.2999 ","4.1564 ","4.1565 ","3.4847 "
cc.twi,1,"3.1551 ","3.3030 ","4.7281 ","4.4078 "
pr.twi,1,"2.8284 ","2.8635 ","4.8241 ","4.4178 "
cc.web,1,"3.0304 ","3.3213 ","4.2947 ","3.9824 "
pr.web,1,"3.3798 ","3.1351 ","4.1454 ","4.2337 "
resnet50,1,"1.5101 ","1.5345 ","1.6056 ","1.7016 "
resnext50,1,"1.5108 ","1.5081 ","1.6605 ","1.7840 "
YCSB-A,1,"1.4789 ","1.9390 ","3.7393 ","3.9516 "
YCSB-B,1,"2.5336 ","3.8047 ","3.3716 ","4.0877 "
Geomean,1,"2.5335 ","2.8492 ","3.4615 ","3.6127 "
