Benchmark,Basic,UnisonCache,DICE,Baryon-64B,Baryon
502.gcc_r,1.061797,1.208751,1.181614,1.151278,1.231982
503.bwaves_r,1.399384,2.558854,2.556825,2.270663,2.257846
505.mcf_r,1.196029,1.755618,1.480604,1.720874,1.923817
507.cactuBSSN_r,"1.177 ","1.794 ","1.417 ","1.543 ","2.299 "
519.lbm_r,1.164958,1.663063,2.178175,1.95427,1.794366
520.omnetpp_r,1.129816,1.039069,1.829491,1.120197,1.157943
527.cam4_r,1.02417,1.158614,1.201634,1.43947,1.159286
549.fotonik3d_r,1.399776,2.585315,2.032934,1.888218,1.069748
554.roms_r,1.099022,1.309415,1.229861,1.449065,1.273237
557.xz_r,1.008471,1.029124,1.069976,1.045588,1.055075
cc.twitter,1.424704,2.4888,2.021427,2.883506,2.949853
pr.twitter,1.657825,3.241491,2.357379,1.718508,1.853568
cc.web,1.150483,1.588058,1.477978,1.464558,1.594642
pr.web,1.402131,2.683123,2.277386,2.532928,3.25309
resnet50,1.137139,1.537988,1.443626,1.403509,1.183992
resnext50,0.8577,0.6029,0.6397,0.6914,"  0.8237"
ycsb.a,1.309072,2.180549,2.343567,1.48236,1.02145
ycsb.b,1.311992,2.172024,2.305741,1.487652,1.021868
geomean,,1.78520278,1.69676391,1.63829008,1.5201222
