Benchmark,AllSlow,Hybrid2,Nocomp,Baryon,AllSlow Speedup,Hybrid2 Speedup,Nocomp Speedup,Baryon Speedup
500.perlbench_r,3369,2582,,2583,0.766399525,1,,0.999612853
502.gcc_r,29295,12103,11820,11390,0.413142174,1,1.02394247,1.062598771
503.bwaves_r,5018,4739,4729,4762,0.944400159,1,1.002114612,0.995170097
505.mcf_r,8978,4674,,4651,0.520605926,1,,1.004945173
507.cactuBSSN_r,10407,4011,3827,3734,0.385413664,1,1.048079436,1.074183182
508.namd_r,2522,2422,,2417,0.960348929,1,,1.00206868
510.parest_r,20899,3520,,3494,0.168429111,1,,1.007441328
511.povray_r,2865,2727,,2819,0.951832461,1,,0.967364314
519.lbm_r,12630,1410,,1225,0.111638955,1,,1.151020408
520.omnetpp_r,2530,1189,,1123,0.469960474,1,,1.058771149
521.wrf_r,11005,3813,,3728,0.346478873,1,,1.022800429
523.xalancbmk_r,33422,7118,,7773,0.212973491,1,,0.915733951
525.x264_r,2451,1962,,1931,0.800489596,1,,1.016053858
526.blender_r,11664,8148,7969,8169,0.698559671,1,1.02246204,0.997429306
527.cam4_r,4447,3249,,3256,0.730604902,1,,0.997850123
531.deepsjeng_r,5371,5252,,5254,0.977843977,1,,0.999619338
538.imagick_r,2345,2311,,2297,0.985501066,1,,1.006094906
541.leela_r,4864,3955,,3948,0.813116776,1,,1.00177305
544.nab_r,3626,3387,1693,3381,0.934087148,1,2.000590667,1.001774623
548.exchange2_r,3091,3086,,3086,0.998382401,1,,1
549.fotonik3d_r,8267,1733,,1481,0.209628644,1,,1.1701553
554.roms_r,26179,5456,,5480,0.208411322,1,,0.995620438
557.xz_r,7347,4521,4497,4180,0.615353205,1,1.005336891,1.081578947
mix1,6072,1986,1954,1794,0.327075099,1,1.016376663,1.107023411
mix2,6939,2244,2219,2030,0.323389537,1,1.011266336,1.105418719
mix3,7949,3858,3813,3740,0.485344068,1,1.0117,1.031550802
mix4,3438,967,943,852,0.281268179,1,1.0259,1.134976526
PageRank.ljournal,1484,492,,481,0.331536388,1,,1.022869023
Bellmanford.ljournal,499,70,,69,0.140280561,1,,1.014492754
Freqmine,171545,164214,,157621,0.957264858,1,,1.041828183
Dedup,8495,8111,,7244,0.954796939,1,,1.119685257
Fluidaminate,162343,132208,,131703,0.814374503,1,,1.003834385
Blackscholes,37340,32473,,32475,0.869657204,1,,0.999938414
Raytrace,59286,54986,,54948,0.927470229,1,,1.000691563
Canneal,3499,1292,,1274,0.369248357,1,,1.014128728
Memory Insensitive Group,,,,,0.618769818,1,,1.010795203
Memory Intensive Group,,,,,0.321928259,1,,1.060800934
