Benchmark,SILC-FM,Baryon,Hybrid2,BHigh,,,,
500.perlbench_r,,,,,,,,
502.gcc_r,1.00,0.38,0.50,0.42,,,,
503.bwaves_r,1.00,0.29,0.35,0.21,,,,
505.mcf_r,1.00,0.41,0.42,0.40,,,,
507.cactuBSSN_r,1.00,0.42,0.38,0.40,,,,
508.namd_r,1.00,1.09,0.85,0.62,,,,
510.parest_r,1.00,1.18,1.67,1.02,,,,
511.povray_r,1.00,,,,,,,
519.lbm_r,1.00,0.39,0.24,0.30,,,,
520.omnetpp_r,1.00,1.07,1.32,1.27,,,,
521.wrf_r,1.00,0.98,0.87,0.71,,,,
523.xalancbmk_r,1.00,,,,,,,
525.x264_r,1.00,0.21,0.29,0.25,,,,
526.blender_r,1.00,0.21,0.29,0.25,,,,
527.cam4_r,1.00,2.36,2.35,2.28,,,,
531.deepsjeng_r,1.00,0.97,1.44,1.46,,,,
538.imagick_r,1.00,,,,,,,
541.leela_r,1.00,,,,,,,
544.nab_r,1.00,0.96,1.09,0.79,,,,
548.exchange2_r,1.00,,,,,,,
549.fotonik3d_r,1.00,0.20,0.25,0.16,,,,
554.roms_r,1.00,0.20,0.25,0.16,,,,
557.xz_r,1.00,1.44,0.97,1.01,,,,
mix1,1.00,0.86,0.72,0.73,,,,
mix2,1.00,0.71,0.60,0.61,,,,
mix3,1.00,0.53,0.43,0.42,,,,
mix4,1.00,0.49,0.37,0.38,,,,
PageRank.ljournal,,,,,,,,
Bellmanford.ljournal,,,,,,,,
Freqmine,,,,,,,,
Dedup,,,,,,,,
Fluidaminate,,,,,,,,
Geomean,1,0.609,0.612,0.532,,,,
