Benchmark,Hybrid2,Baryon
502.gcc_r,172330250,94792518
503.bwaves_r,2350505,946486
505.mcf_r,,
507.cactuBSSN_r,90202995,40026686
508.namd_r,,
510.parest_r,9499778,4707403
511.povray_r,,
519.lbm_r,51674292,18362035
520.omnetpp_r,41799992,36470705
521.wrf_r,,
523.xalancbmk_r,,
525.x264_r,,
526.blender_r,5726926,2224737
527.cam4_r,,
531.deepsjeng_r,18112951,17965154
538.imagick_r,,
541.leela_r,,
544.nab_r,,
548.exchange2_r,,
549.fotonik3d_r,65522017,36269401
554.roms_r,105197943,94312322
557.xz_r,124481299,96257177
