Benchmark,MemoryAccess,StageCacheHit,StageCacheMultiHit,StageCacheHitrate,StageCacheMultiHitrate
500.perlbench_r,,,,,
502.gcc_r,,,,0.430924205,
503.bwaves_r,,,,0.194762975,
505.mcf_r,,,,0.467828015,
507.cactuBSSN_r,,,,0.739762539,
508.namd_r,,,,0.309343363,
510.parest_r,,,,0.056103455,
511.povray_r,,,,,
519.lbm_r,,,,0.645623972,
520.omnetpp_r,,,,0.363926993,
521.wrf_r,,,,0.160528853,
523.xalancbmk_r,,,,0.019591116,
525.x264_r,,,,0.254796771,
526.blender_r,,,,0.149876455,
527.cam4_r,,,,,
531.deepsjeng_r,,,,0.187510813,
538.imagick_r,,,,,
541.leela_r,,,,,
544.nab_r,,,,0.414889255,
548.exchange2_r,,,,,
549.fotonik3d_r,,,,0.786044243,
554.roms_r,,,,0.291138684,
557.xz_r,,,,0.294756784,
mix1,506374299,309071132,208825948,0.610361017,0.412394445
mix2,625596731,432636167,334744749,0.691557589,0.53508072
mix3,247595106,157041561,125238932,0.63426763,0.505821517
mix4,424349725,284633446,207100333,0.670752045,0.488041634
PageRank.ljournal,,,,,
Bellmanford.ljournal,,,,,
Freqmine,,,,,
Dedup,,,,,
Fluidaminate,,,,,
