Benchmark,2 Hitrate,4 Hitrate,8 Hitrate,16 Hitrate,1 Performance,2 Performance,4 Performance,"8 Performance ",12 Performance,16 Performance
500.perlbench_r,,,,,,,,,,
502.gcc_r,,,,,"0.97 ","0.99 ","1.00 ","1.00 ","0.89 ","0.68 "
503.bwaves_r,,,,,,,,,,
505.mcf_r,,,,,"0.84 ","0.98 ","1.00 ","1.00 ","0.83 ","0.52 "
507.cactuBSSN_r,,,,,,,,,,
519.lbm_r,,,,,,,,,,
520.omnetpp_r,,,,,"0.29 ","0.35 ","0.78 ","1.00 ","1.06 ","0.88 "
527.cam4_r,,,,,,,,,,
549.fotonik3d_r,,,,,,,,,,
554.roms_r,,,,,"0.88 ","0.92 ","1.00 ","1.00 ","0.82 ","0.69 "
557.xz_r,,,,,"1.07 ","1.07 ","1.01 ","1.00 ","0.96 ","0.76 "
pr.twitter,,,,,"0.48 ","0.63 ","0.96 ","1.00 ","1.11 ","0.99 "
resnet50,,,,,"0.98 ","0.97 ","1.02 ","1.00 ","0.91 ","0.86 "
ycsb.a,,,,,"0.69 ","0.61 ","0.63 ","1.00 ","0.90 ","0.47 "
Geomean,,,,,"0.8597 ",,"0.9819 ","1.0000 ","0.9482 ","0.8191 "
