Workload,Read Hit,Write Hit (no overflow),Read Miss,Write Miss,Write Overflow
500.perlbench_r,0.7916872835,0.1632855022,0.03463631865,0.009896091044,0.0004948045522
502.gcc_r,0.5665241875,0.433091345,0.0002261573603,0.0001130786801,0.00004523147206
503.bwaves_r,0.4213483146,0.4213483146,0.08426966292,0.0702247191,0.002808988764
505.mcf_r,0.49000392,0.294002352,0.09800078401,0.1176009408,0.000392003136
519.lbm_r,0.4065930491,0.5494500664,0.02197800266,0.02197800266,0.0000008791201063
520.omnetpp_r,0.5130903828,0.3025917642,0.1315616366,0.05262465465,0.0001315616366
521.wrf_r,0.6108597285,0.2639517345,0.06787330317,0.05279034691,0.004524886878
523.xalancbmk_r,0.9463722397,0.004980906525,0.04814876307,0.000332060435,0.0001660302175
544.nab_r,0.6106870229,0.3307888041,0.05089058524,0.007633587786,0.007633587786
549.fotonik3d_r,0.4986522911,0.3908355795,0.0539083558,0.04986522911,0.006738544474
557.xz_r,0.4577464789,0.2728873239,0.1584507042,0.1056338028,0.005281690141
