,LayoutHit,LayoutMiss,LayoutOverflow,StageHit,,
0,0.536462204,0.126154832,0.00046038,0.336922584,0.25230966 ,0.08461292 
1,0.513945515,0.118986002,0.026561485,0.340506998,0.23797200 ,0.10253499 
2,0.371032127,0.22067014,0.218632803,0.18966493,0.44134028 ,-0.25167535 
3,0.602562348,0.21180966,0.091532822,0.09409517,0.42361932 ,-0.32952415 
4,0.610510514,0.172689624,0.003144674,0.213655188,0.34537925 ,-0.13172406 
5,0.613104623,0.167741754,0.003024501,0.216129122,0.33548351 ,-0.11935439 
6,0.609167103,0.175369742,0.003148025,0.21231513,0.35073948 ,-0.13842435 
7,0.611460155,0.170746592,0.003166549,0.214626704,0.34149318 ,-0.12686648 
8,0.612121451,0.16793074,0.003913179,0.21603463,0.33586148 ,-0.11982685 
9,0.611440596,0.165549864,0.005784471,0.217225069,0.33109973 ,-0.11387466 
10,0.582984175,0.147570812,0.043230419,0.226214594,0.29514162 ,-0.06892703 
11,0.581864166,0.149747266,0.043262202,0.225126366,0.29949453 ,-0.07436817 
12,0.611629057,0.170116542,0.003312672,0.214941729,0.34023308 ,-0.12529136 
13,0.610546715,0.172526134,0.003190218,0.213736933,0.34505227 ,-0.13131534 
14,0.612032252,0.169144634,0.003395432,0.215427682,0.33828927 ,-0.12286159 
15,0.613364324,0.165178396,0.004046477,0.217410803,0.33035679 ,-0.11294599 
16,0.613084152,0.145969156,0.01393127,0.227015422,0.29193831 ,-0.06492289 
17,0.578926662,0.180800474,0.030673101,0.209599763,0.36160095 ,-0.15200119 
18,0.504437531,0.16748652,0.111819208,0.216256741,0.33497304 ,-0.11871630 
19,0.449007743,0.15695877,0.172512872,0.221520615,0.31391754 ,-0.09239692 
20,0.615726377,0.135115762,0.016715742,0.232442119,0.27023152 ,-0.03778941 
21,0.627628169,0.131220746,0.006761458,0.234389627,0.26244149 ,-0.02805187 
22,0.613235514,0.154834468,0.009347251,0.222582767,0.30966894 ,-0.08708617 
23,0.595967632,0.19800388,0.005030427,0.200998061,0.39600776 ,-0.19500970 
24,0.597996755,0.193229816,0.005388337,0.203385092,0.38645963 ,-0.18307454 
25,0.596470021,0.197337866,0.004861045,0.201331068,0.39467573 ,-0.19334466 
26,0.593760817,0.203605364,0.004436502,0.198197317,0.40721073 ,-0.20901341 
27,0.595093215,0.200974522,0.004419525,0.199512738,0.40194904 ,-0.20243631 
28,0.596826726,0.199692316,0.003327116,0.200153842,0.39938463 ,-0.19923079 
29,0.594072856,0.20552612,0.003164084,0.19723694,0.41105224 ,-0.21381530 
30,0.599895827,0.195373814,0.002417266,0.202313093,0.39074763 ,-0.18843454 
31,0.606343064,0.184848048,0.001232912,0.207575976,0.36969610 ,-0.16212012 
32,0.605903148,0.187112204,0.00054075,0.206443898,0.37422441 ,-0.16778051 
33,0.600681111,0.19780592,0.000415929,0.20109704,0.39561184 ,-0.19451480 
34,0.600403293,0.19716324,0.001015087,0.20141838,0.39432648 ,-0.19290810 
35,0.601269586,0.19479933,0.001330749,0.202600335,0.38959866 ,-0.18699833 
36,0.602006803,0.191199128,0.002393633,0.204400436,0.38239826 ,-0.17799782 
